epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4804.45,0.3235,0.27295,0.8509,0.93847,1,0.98762,0.97514,0.22031,1.29627,0.78683,0.0089605,0.0089605,0.0089605
44,4916.55,0.32416,0.27313,0.85641,0.93748,1,0.96486,0.95063,0.22065,1.40402,0.78773,0.00893575,0.00893575,0.00893575
45,5028.21,0.32486,0.27737,0.85427,0.93528,0.99703,0.94212,0.93015,0.22494,1.34002,0.78819,0.008911,0.008911,0.008911
46,5139.83,0.31939,0.27377,0.85579,0.93829,1,0.95068,0.93595,0.22728,1.2599,0.78878,0.00888625,0.00888625,0.00888625
47,5252.46,0.32051,0.26862,0.8519,0.93694,1,0.97659,0.96429,0.22021,1.40071,0.78561,0.0088615,0.0088615,0.0088615
48,5364.61,0.31889,0.26322,0.8498,0.93761,0.99983,0.97669,0.96363,0.24399,1.39247,0.79476,0.00883675,0.00883675,0.00883675
49,5477.06,0.32159,0.26358,0.85113,0.93737,1,0.96044,0.95077,0.21824,1.34865,0.78949,0.008812,0.008812,0.008812
50,5589,0.31492,0.26888,0.85197,0.94072,1,0.97333,0.95967,0.22588,1.37165,0.79198,0.00878725,0.00878725,0.00878725
51,5701.16,0.31697,0.26401,0.8534,0.93738,1,0.95024,0.93987,0.22275,1.36369,0.79238,0.0087625,0.0087625,0.0087625
52,5813.55,0.32191,0.26294,0.85764,0.93756,1,0.96494,0.95788,0.21011,1.40808,0.7897,0.00873775,0.00873775,0.00873775
53,5925.6,0.3113,0.26351,0.85413,0.93765,1,0.96928,0.95844,0.22224,1.33069,0.78973,0.008713,0.008713,0.008713
54,6037.61,0.31125,0.2599,0.85092,0.93718,1,0.96521,0.95341,0.21865,1.37097,0.79171,0.00868825,0.00868825,0.00868825
55,6149.51,0.31288,0.25536,0.85153,0.93699,1,0.95495,0.94188,0.217,1.37715,0.7841,0.0086635,0.0086635,0.0086635
56,6261.49,0.30741,0.25635,0.84778,0.93716,1,0.95491,0.9428,0.21075,1.42306,0.78557,0.00863875,0.00863875,0.00863875
57,6373.58,0.30751,0.24924,0.84771,0.93761,1,0.94946,0.93758,0.21766,1.37319,0.78918,0.008614,0.008614,0.008614
58,6485.41,0.30435,0.25014,0.84562,0.93776,1,0.95768,0.94393,0.21264,1.40053,0.78552,0.00858925,0.00858925,0.00858925
59,6597.45,0.30811,0.25148,0.85252,0.9389,0.99799,0.9508,0.94344,0.20996,1.32266,0.78585,0.0085645,0.0085645,0.0085645
60,6708.93,0.30685,0.25079,0.84803,0.93737,1,0.94184,0.93299,0.21381,1.42662,0.79011,0.00853975,0.00853975,0.00853975
61,6820.91,0.30489,0.25173,0.84747,0.93838,1,0.99292,0.98443,0.20539,1.40053,0.7825,0.008515,0.008515,0.008515
62,6933.08,0.30487,0.25087,0.84843,0.93775,1,0.97006,0.95836,0.21115,1.38934,0.78626,0.00849025,0.00849025,0.00849025
63,7044.9,0.30227,0.24534,0.84602,0.93782,1,0.9697,0.96342,0.21248,1.41154,0.78783,0.0084655,0.0084655,0.0084655
64,7156.85,0.30395,0.25239,0.84922,0.9376,1,0.9474,0.93752,0.22293,1.31497,0.7928,0.00844075,0.00844075,0.00844075
65,7268.98,0.30883,0.26342,0.85251,0.93758,1,0.97248,0.9628,0.2154,1.3829,0.79073,0.008416,0.008416,0.008416
66,7380.57,0.30522,0.25316,0.84745,0.93777,1,0.95858,0.95186,0.20483,1.27662,0.78715,0.00839125,0.00839125,0.00839125
67,7492.14,0.30216,0.25435,0.8505,0.93758,1,0.97843,0.96971,0.20785,1.34737,0.78929,0.0083665,0.0083665,0.0083665
68,7603.88,0.3046,0.2572,0.84868,0.93824,1,0.95946,0.95081,0.21312,1.36169,0.78777,0.00834175,0.00834175,0.00834175
69,7715.38,0.3014,0.2537,0.85095,0.94329,1,0.98138,0.97288,0.20682,1.32099,0.78619,0.008317,0.008317,0.008317
70,7827.1,0.298,0.24457,0.84469,0.93765,1,0.96847,0.95978,0.21032,1.34433,0.78851,0.00829225,0.00829225,0.00829225
71,7939.15,0.30129,0.2448,0.84964,0.93768,1,0.97725,0.96662,0.21114,1.35977,0.79095,0.0082675,0.0082675,0.0082675
72,8050.58,0.29607,0.24609,0.84642,0.93666,1,0.99386,0.98622,0.20732,1.36392,0.78749,0.00824275,0.00824275,0.00824275
