epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1523.08,0.36127,0.31179,0.87118,0.93695,0.99964,0.9559,0.92339,0.26547,1.31679,0.81771,0.007921,0.007921,0.007921
44,1558.61,0.36402,0.30744,0.87086,0.93768,1,0.97965,0.94116,0.27294,1.34091,0.81808,0.0078715,0.0078715,0.0078715
45,1594.56,0.36278,0.30368,0.87296,0.93531,1,0.97145,0.94014,0.26452,1.31696,0.81411,0.007822,0.007822,0.007822
46,1630.65,0.36447,0.30332,0.87372,0.93723,1,0.94263,0.8964,0.29668,1.32856,0.82184,0.0077725,0.0077725,0.0077725
47,1666.55,0.36168,0.30153,0.86995,0.93518,0.99589,0.9518,0.91281,0.27351,1.31168,0.80863,0.007723,0.007723,0.007723
48,1702.42,0.35508,0.28887,0.87015,0.93668,0.99969,0.97025,0.93807,0.26296,1.38069,0.81505,0.0076735,0.0076735,0.0076735
49,1738.11,0.35736,0.29098,0.87094,0.93855,1,0.9915,0.95803,0.27112,1.43408,0.816,0.007624,0.007624,0.007624
50,1773.87,0.35212,0.29163,0.86714,0.93504,1,0.96154,0.93162,0.25604,1.34597,0.80173,0.0075745,0.0075745,0.0075745
51,1809.32,0.36003,0.29677,0.87342,0.93972,1,0.98266,0.94788,0.26619,1.29739,0.80872,0.007525,0.007525,0.007525
52,1844.77,0.34836,0.28295,0.86173,0.93687,1,0.95595,0.92821,0.25656,1.42546,0.80261,0.0074755,0.0074755,0.0074755
53,1881.04,0.35608,0.28901,0.87077,0.93753,1,0.9568,0.92692,0.25592,1.33255,0.806,0.007426,0.007426,0.007426
54,1917.41,0.35616,0.29068,0.87213,0.93604,0.99983,0.99265,0.96479,0.25529,1.42739,0.80659,0.0073765,0.0073765,0.0073765
55,1953.43,0.3473,0.28604,0.86734,0.93738,1,0.9495,0.91909,0.25779,1.41492,0.80306,0.007327,0.007327,0.007327
56,1989.37,0.34684,0.28157,0.86713,0.93711,1,0.98407,0.95396,0.25517,1.32409,0.8114,0.0072775,0.0072775,0.0072775
57,2025.26,0.34749,0.2781,0.86509,0.93713,0.99998,0.98787,0.9567,0.27228,1.34732,0.81343,0.007228,0.007228,0.007228
58,2061,0.34682,0.28005,0.86243,0.93733,1,0.95672,0.93118,0.2493,1.37008,0.80401,0.0071785,0.0071785,0.0071785
59,2096.78,0.34735,0.27269,0.86232,0.93747,1,0.99071,0.968,0.25142,1.35212,0.80574,0.007129,0.007129,0.007129
60,2132.67,0.34123,0.27277,0.86792,0.93659,0.99826,0.96933,0.94431,0.25438,1.33053,0.80656,0.0070795,0.0070795,0.0070795
61,2168.57,0.33901,0.27704,0.86042,0.93872,1,0.95167,0.92546,0.24637,1.38118,0.80513,0.00703,0.00703,0.00703
62,2204.57,0.34139,0.27442,0.86697,0.93734,1,0.95637,0.92528,0.25501,1.3904,0.80509,0.0069805,0.0069805,0.0069805
63,2240.78,0.34222,0.27234,0.86289,0.93851,1,0.98164,0.9532,0.25609,1.28284,0.81075,0.006931,0.006931,0.006931
64,2276.72,0.34538,0.2766,0.87007,0.93762,1,0.99049,0.96337,0.26341,1.3545,0.81095,0.0068815,0.0068815,0.0068815
65,2312.54,0.33833,0.26534,0.86259,0.93723,1,0.99317,0.97039,0.24265,1.3191,0.80435,0.006832,0.006832,0.006832
66,2348.67,0.33888,0.27,0.86379,0.9409,1,0.98841,0.9576,0.25702,1.34547,0.81009,0.0067825,0.0067825,0.0067825
67,2384.62,0.33507,0.26294,0.85888,0.93737,1,0.97178,0.94273,0.25388,1.36387,0.80658,0.006733,0.006733,0.006733
68,2420.44,0.33406,0.25983,0.86055,0.93766,1,0.98994,0.97082,0.2473,1.36227,0.80354,0.0066835,0.0066835,0.0066835
69,2456.25,0.3359,0.26866,0.86011,0.93721,1,0.95572,0.92742,0.24875,1.40186,0.80222,0.006634,0.006634,0.006634
70,2492.09,0.33236,0.26673,0.85948,0.93737,1,0.96362,0.94093,0.24854,1.42866,0.79987,0.0065845,0.0065845,0.0065845
71,2527.85,0.33228,0.2624,0.86091,0.93726,1,0.97495,0.95072,0.2504,1.33267,0.80465,0.006535,0.006535,0.006535
72,2563.63,0.33342,0.25872,0.86381,0.93752,1,0.95018,0.92998,0.23874,1.35568,0.79594,0.0064855,0.0064855,0.0064855
73,2599.4,0.33067,0.25729,0.85965,0.93648,1,0.95097,0.92706,0.25761,1.3672,0.80808,0.006436,0.006436,0.006436
74,2635.24,0.32898,0.25542,0.85651,0.93682,1,0.96725,0.94472,0.24777,1.3161,0.80307,0.0063865,0.0063865,0.0063865
75,2671.85,0.33237,0.26044,0.86139,0.93827,1,0.96898,0.94812,0.24697,1.36758,0.80268,0.006337,0.006337,0.006337
76,2707.47,0.32946,0.25634,0.85845,0.93757,1,0.94798,0.92052,0.25591,1.38216,0.8049,0.0062875,0.0062875,0.0062875
77,2743.05,0.32712,0.24791,0.85298,0.93759,1,0.95921,0.93293,0.25361,1.40715,0.80255,0.006238,0.006238,0.006238
78,2779.3,0.32534,0.25477,0.85557,0.93754,1,0.9488,0.92605,0.24404,1.3746,0.7973,0.0061885,0.0061885,0.0061885
79,2815.3,0.32476,0.25641,0.85646,0.93564,1,0.99114,0.9701,0.23606,1.48762,0.79452,0.006139,0.006139,0.006139
80,2850.83,0.32873,0.25419,0.85695,0.93727,1,0.95573,0.93749,0.2508,1.36243,0.80572,0.0060895,0.0060895,0.0060895
81,2886.33,0.32732,0.24878,0.8594,0.93716,1,0.97275,0.957,0.23015,1.41108,0.79742,0.00604,0.00604,0.00604
82,2921.74,0.32439,0.24621,0.85426,0.93762,1,0.96982,0.94699,0.2459,1.34933,0.80255,0.0059905,0.0059905,0.0059905
83,2957.11,0.32586,0.24498,0.85696,0.93729,1,0.95804,0.93145,0.2533,1.43815,0.80431,0.005941,0.005941,0.005941
84,2992.52,0.32684,0.24472,0.85748,0.9358,1,0.97677,0.95295,0.24308,1.34668,0.80407,0.0058915,0.0058915,0.0058915
85,3028.06,0.32155,0.23934,0.85533,0.93729,1,0.95692,0.93084,0.24191,1.38859,0.80186,0.005842,0.005842,0.005842
86,3063.66,0.32159,0.24057,0.85493,0.93753,1,0.9487,0.92873,0.2471,1.39984,0.80349,0.0057925,0.0057925,0.0057925
